1_id,1_span,1_anno_default_ns:cat,1_meta_annis:doc,2_id,2_span,2_anno_default_ns:cat,Stellung,Ausgabereihenfolge,Eigenname,Fehltreffer,random,wordcount
31938471,biß zu deß groß Türcken Pallast,PP,AnnusChristi-1597,31938475,deß groß Türcken,NP,prae,33,n,n,NA,3
31938755,der Ciccala Bassa ( von dessen Relegation in vorgehnden Monaten meldung beschehen,NP,AnnusChristi-1597,31938754,der Ciccala,NP,prae,34,n,n,NA,2
31938891,vor der Christen einfall,PP,AnnusChristi-1597,31938893,der Christen,NP,prae,35,n,n,NA,2
31939017,deß Fürsten auß Sibenbürgen ankunfft zu Prag,NP,AnnusChristi-1597,31939016,deß Fürsten auß Sibenbürgen,NP,prae,36,n,n,NA,4
31939541,in deß Sibenbürgers hand,PP,AnnusChristi-1597,31939543,deß Sibenbürgers,NP,prae,37,n,n,NA,2
31940258,Röm: Kay: Mayst. KriegßRaht,NP,AnnusChristi-1597,31940257,Röm: Kay: Mayst.,NP,prae,38,n,n,NA,3
31940331,wolgedachts vnsers gnedigen Herrens Leibs vnd Lebens,PP,AnnusChristi-1597,31940333,vnsers gnedigen Herrens,NP,prae,39,n,n,NA,3
31940882,der Bawren Hauptmann ( bey welchen 7000. Thaler gefunden,NP,AnnusChristi-1597,31940881,der Bawren Hauptmann ( bey welchen 7000. Thaler gefunden,NP,prae,40,n,n,NA,9
31941246,der Röm: Kay: Mayst. demselben König,NP,AnnusChristi-1597,31941245,der Röm: Kay: Mayst.,NP,prae,41,n,n,NA,4
31941297,desselben Königreichs Stände,NP,AnnusChristi-1597,31941296,desselben Königreichs,NP,prae,42,n,n,NA,2
31941366,der Türcken vnd Tartarn herauß kunfft,NP,AnnusChristi-1597,31941365,der Türcken vnd Tartarn,NP,prae,43,n,n,NA,4
31941556,auff deß Cardinals di Austria seitten,PP,AnnusChristi-1597,31941558,deß Cardinals di Austria,NP,prae,44,j,n,NA,4
31942934,solcher der Frantzosen fürschlag,NP,AnnusChristi-1597,31942936,der Frantzosen,NP,prae,45,n,n,NA,2
31945087,an der Bawren Wacht,PP,AnnusChristi-1597,31945090,der Bawren,NP,prae,46,n,n,NA,2
31945183,der Bawren gelegenheit,NP,AnnusChristi-1597,31945182,der Bawren,NP,prae,47,n,n,NA,2
31945981,auff der Burger Raht,PP,AnnusChristi-1597,31945983,der Burger,NP,prae,48,n,n,NA,2
31946169,der Bawren Obristen der Bronner genannt / so ein Schneider,NP,AnnusChristi-1597,31946168,der Bawren,NP,prae,49,n,n,NA,2
31946201,des Bronners Sohn,NP,AnnusChristi-1597,31946200,des Bronners,NP,prae,50,n,n,NA,2
31946218,des Vatters stell,NP,AnnusChristi-1597,31946217,des Vatters,NP,prae,51,n,n,NA,2
31946309,in der Obrigkeit handen,PP,AnnusChristi-1597,31946311,der Obrigkeit,NP,prae,52,n,n,NA,2
31947012,zu Fuß aber ein mehrers,NP,AnnusChristi-1597,31947011,zu Fuß,NP,prae,53,n,j,NA,2
31947598,der Staaden volck mit 500 Pferden / vnd etlichen zu Fuß im Stifft Cölln geweßt / welche bey 100 Bawren / so auff geistlichen Güttern gewohnet / wie auch etliche Pferd / sampt zweyen geistlichen personen / hinweck gefürt haben,NP,AnnusChristi-1597,31947597,der Staaden volck mit 500 Pferden / vnd etlichen zu Fuß im Stifft Cölln geweßt / welche bey 100 Bawren / so auff geistlichen Güttern gewohnet / wie auch etliche Pferd / sampt zweyen geistlichen personen / hinweck gefürt haben,NP,prae,54,n,j,NA,40
31948068,der Staaden volck,NP,AnnusChristi-1597,31948067,der Staaden,NP,prae,55,n,n,NA,2
31949018,als deß Königs in Franckreich Obrister,PP,AnnusChristi-1597,31949020,deß Königs in Franckreich,NP,prae,56,n,n,NA,4
31949883,seines Königs Wappen,NP,AnnusChristi-1597,31949882,seines Königs,NP,prae,57,n,n,NA,2
31951134,der vnsern vber zehn tausent,NP,AnnusChristi-1597,31951133,der vnsern,NP,prae,58,n,n,NA,2
31951863,von des Herren Balffy Leuten,PP,AnnusChristi-1597,31951865,des Herren Balffy,NP,prae,59,j,n,NA,3
31951917,allein deß Herren von Bernsteins Leut,NP,AnnusChristi-1597,31951919,deß Herren von Bernsteins,NP,prae,60,j,n,NA,4
31951980,des Haubtman Betzen Leut / mit kurtzen Wöhren,NP,AnnusChristi-1597,31951979,des Haubtman Betzen,NP,prae,61,j,n,NA,3
31952091,Des Herren Betzen Schützen,NP,AnnusChristi-1597,31952090,Des Herren Betzen,NP,prae,62,j,n,NA,3
31952192,der Acoth Aga,NP,AnnusChristi-1597,31952191,der Acoth,NP,prae,63,j,n,NA,2
31952785,in der Christen Handt,PP,AnnusChristi-1597,31952787,der Christen,NP,prae,64,n,n,NA,2
31952805,deß Herren Betzen Volck,NP,AnnusChristi-1597,31952804,deß Herren Betzen,NP,prae,65,j,n,NA,3
31953117,Auff sonderbare der Fürstl. Durchl. Matthiasen / Ertzhertzogs zu Oesterreich / rc. vnsers Gnädigisten Herren / gnädigiste vnd ernstliche verordnung,PP,AnnusChristi-1597,31953122,der Fürstl. Durchl. Matthiasen / Ertzhertzogs zu Oesterreich / rc. vnsers Gnädigisten Herren,NP,prae,66,n,n,NA,13
31956634,mit etlichen deß Herren Botskay Trabanten 116. starck,PP,AnnusChristi-1597,31956637,deß Herren Botskay,NP,prae,67,j,n,NA,3
31957230,etliches deß Bassa von Ofen Volck auff sie / mit welchen sie so lang Scharmützlen / biß sie weder Kuglen / noch Puluer mehr gehabt,NP,AnnusChristi-1597,31957232,deß Bassa von Ofen,NP,prae,68,j,n,NA,4
31958273,deß fürnembsten Rebellen Kopff,NP,AnnusChristi-1597,31958272,deß fürnembsten Rebellen,NP,prae,69,n,n,NA,3
31958786,des Conestable Tochter,NP,AnnusChristi-1597,31958785,des Conestable,NP,prae,70,n,n,NA,2
31958787,des Conestable Tochter Mann,NP,AnnusChristi-1597,31958786,des Conestable Tochter,NP,prae,71,n,n,NA,3
31959062,des Königs auß Franckreich Obrister,NP,AnnusChristi-1597,31959061,des Königs auß Franckreich,NP,prae,72,n,n,NA,4
31959352,von der Christen Galleen / so im selbigen Porto ankommen,PP,AnnusChristi-1597,31959355,der Christen,NP,prae,73,n,n,NA,2
31959586,in des Königs auß Spania gewalt / dem sie sich zu vntergeben vrbütig,PP,AnnusChristi-1597,31959591,des Königs auß Spania,NP,prae,74,n,n,NA,4
31959898,deß Edelmans / Martin Diaco genannt / Relation vnnd anzeigen nach,PP,AnnusChristi-1597,31959897,deß Edelmans / Martin Diaco genannt,NP,prae,75,j,n,NA,6
31960599,seiner Leut / sampt denen von Commorra / vmb was zuversuchen / etliche außgeschickt welche Nächtlicher weil auff Stul Weissenburg kommen / vnnd die Statt darvor Inhoiuan in welcher die Türcken jhr Prouiandt gehabt / vnd sonsten zu vberwintern gepflegt einbekommen / die Türcken darinnen alle nidergehawet / die Statt geplündert / vnd angezündt / darauß sie dann ein schöne Beut / vnd in die 4000. Schaaf / ein anzahl Ochsen vnd Küe / auch vber 100. Roß darvon gebracht / vnnd glücklich wider heimb kommen,NP,AnnusChristi-1597,31960598,seiner Leut / sampt denen von Commorra,NP,prae,76,n,n,NA,7
31961046,eines fürnemmen Aga Weib vnnd Kinder / neben einer stattlichen Beut / dergleichen in vielen Jahren nicht gerahten,NP,AnnusChristi-1597,31961045,eines fürnemmen Aga,NP,prae,77,n,n,NA,3
31961219,als Jhrer Königk. W. Leutenampt,PP,AnnusChristi-1597,31961221,Jhrer Königk. W.,NP,prae,78,n,n,NA,3
31961280,mit der Landtschafft vnter der Ennß / Ober Sächsischen / Wallonischen / vnd Altenburgischen Reuttern,PP,AnnusChristi-1597,31961282,der Landtschafft vnter der Ennß,NP,prae,79,n,n,NA,5
31961341,zu Jhrer Königk. Wird. ankunfft,PP,AnnusChristi-1597,31961344,Jhrer Königk. Wird.,NP,prae,80,n,n,NA,3
31961473,der Türcken Obristen / sampt noch 13.,NP,AnnusChristi-1597,31961472,der Türcken,NP,prae,81,n,n,NA,2
31961660,einer Gaia Bassa,NP,AnnusChristi-1597,31961659,einer Gaia,NP,prae,82,n,n,NA,2
31962275,deß Türcken sachen,NP,AnnusChristi-1597,31962274,deß Türcken,NP,prae,83,n,n,NA,2
31962488,dieses abgesandten fürgeben nach,PP,AnnusChristi-1597,31962487,dieses abgesandten,NP,prae,84,n,n,NA,2
31962655,des Hertzogen von Lotringen Sohne Monsor de Pont,NP,AnnusChristi-1597,31962654,des Hertzogen von Lotringen,NP,prae,85,n,n,NA,4
31962668,mit des Königs in Franckreich Schwester,PP,AnnusChristi-1597,31962671,des Königs in Franckreich,NP,prae,86,n,n,NA,4
31962730,auch des Hertzogen von Lottringen Secretarius oder Agent,NP,AnnusChristi-1597,31962729,auch des Hertzogen von Lottringen,NP,prae,87,n,n,NA,5
31963031,gegen der Statt Mawren,PP,AnnusChristi-1597,31963033,der Statt,NP,prae,88,n,n,NA,2
31963215,auß / vnd in der Frantzosen Läger,PP,AnnusChristi-1597,31963220,der Frantzosen,NP,prae,89,n,n,NA,2
31964521,des Fürsten in Sibenbürgen Beichtvatter,NP,AnnusChristi-1597,31964520,des Fürsten in Sibenbürgen,NP,prae,90,n,n,NA,4
31964728,des Türcken Tyranney,NP,AnnusChristi-1597,31964727,des Türcken,NP,prae,91,n,n,NA,2
31965475,"der Janitscharn Aga , mit mehrerem Kriegßvolck",NP,AnnusChristi-1597,31965474,der Janitscharn,NP,prae,92,j,n,NA,2
31965503,der Ciccala Bassa,NP,AnnusChristi-1597,31965502,der Ciccala,NP,prae,93,j,n,NA,2
31966858,des Hauptman Eders,NP,AnnusChristi-1597,31966857,des Hauptman Eders,NP,prae,94,j,n,NA,3
31967266,in der Christen hand,PP,AnnusChristi-1597,31967268,der Christen,NP,prae,95,n,n,NA,2
31967528,vor der Christen Läger bey Gran,PP,AnnusChristi-1597,31967530,der Christen,NP,prae,96,n,n,NA,2
31967730,DEß Herren von Berensteins Regiment / so ein wolgerüstes ansehenliches Volck,NP,AnnusChristi-1597,31967729,DEß Herren von Berensteins,NP,prae,97,j,n,NA,4
31968284,in der Staaden Läger,PP,AnnusChristi-1597,31968286,der Staaden,NP,prae,98,n,n,NA,2
31968295,des Graff Wilhelms von Nassaw Leutenampt,NP,AnnusChristi-1597,31968294,des Graff Wilhelms von Nassaw,NP,prae,99,j,n,NA,5
31969263,nahent bey der Frantzosen Läger,PP,AnnusChristi-1597,31969266,der Frantzosen,NP,prae,100,n,n,NA,2
31969286,des Graff Peter Ernnsts von Manßfeld Obristen Leutenampt,NP,AnnusChristi-1597,31969285,des Graff Peter Ernnsts von Manßfeld,NP,prae,101,j,n,NA,6
31969452,wegen des Castells Edict,PP,AnnusChristi-1597,31969454,des Castells,NP,prae,102,n,n,NA,2
31970288,"jhrer Fürstl. Durchl. Guardia , Blaw vnd Rot bekleidet",NP,AnnusChristi-1597,31970287,jhrer Fürstl. Durchl.,NP,prae,103,n,n,NA,3
31970840,8. deß Balffy Hussärn bey Ofen,NP,AnnusChristi-1597,31970843,deß Balffy,NP,prae,104,j,n,NA,2
31971184,auff der Tartar vnd Türcken Läger bey Peest Kommen / die sie bey nächtlicher weil angriffen,PP,AnnusChristi-1597,31971187,der Tartar vnd Türcken,NP,prae,105,n,n,NA,4
31971536,seiner Edeleut einer,NP,AnnusChristi-1597,31971535,seiner Edeleut,NP,prae,106,n,n,NA,2
31971581,seinem Trommeter einen,NP,AnnusChristi-1597,31971580,seinem Trommeter,NP,prae,107,n,n,NA,2
31971803,von des Herren Nadasti Leutten,PP,AnnusChristi-1597,31971807,des Herren Nadasti,NP,prae,108,j,n,NA,3
31971969,in des Sinan Bassa geweßtem Läger,PP,AnnusChristi-1597,31971971,des Sinan Bassa,NP,prae,109,j,n,NA,3
31972700,der vnsern Gegenwöhr,NP,AnnusChristi-1597,31972699,der vnsern,NP,prae,110,n,n,NA,2
31972855,der Türcken Weiber vnd Kinder,NP,AnnusChristi-1597,31972854,der Türcken,NP,prae,111,n,n,NA,2
31972911,in der Christen hand,PP,AnnusChristi-1597,31972914,der Christen,NP,prae,112,n,n,NA,2
31973152,ernanter Wallachen in 1000. sampt Weid vnd Kind,NP,AnnusChristi-1597,31973151,ernanter Wallachen,NP,prae,113,n,n,NA,2
31973677,Der Wallonen aber seind in der eyl / vngefahr bey 50. Pferdt zusammen kommen / die sich zur Wöhr gestellt / von welchen gleichwol wenig vmbkommen,NP,AnnusChristi-1597,31973676,Der Wallonen aber,NP,prae,114,n,n,NA,3
31973717,der abwesenden aber / so sich hinwartz in jre Losament begebn wöllen / vnd an dem handel vnschuldig gewesen / seind etlich,NP,AnnusChristi-1597,31973716,der abwesenden aber / so sich hinwartz in jre Losament begebn wöllen / vnd an dem handel vnschuldig gewesen,NP,prae,115,n,n,NA,19
31974091,der Beheimb seind nit vber drey,NP,AnnusChristi-1597,31974090,der Beheimb,NP,prae,116,j,n,NA,2
31974841,deß Graffen von Manßfeld Obristen Leutenampt,NP,AnnusChristi-1597,31974840,deß Graffen von Manßfeld,NP,prae,117,j,n,NA,4
31974866,der Frantzosen Läger,NP,AnnusChristi-1597,31974865,der Frantzosen,NP,prae,118,n,n,NA,2
31975141,von deß Königs Läger,PP,AnnusChristi-1597,31975143,deß Königs,NP,prae,119,n,n,NA,2
31975201,nach der Frantzosen Läger,PP,AnnusChristi-1597,31975204,der Frantzosen,NP,prae,120,n,n,NA,2
31976099,der Piemonteser bey 1400.,NP,AnnusChristi-1597,31976098,der Piemonteser,NP,prae,121,n,n,NA,2
31976556,von des Pabsts Kriegsvolck / welches jhme alle Päß verlegt,PP,AnnusChristi-1597,31976558,des Pabsts,NP,prae,122,n,n,NA,2
31977050,auff der vnsern ankunfft,PP,AnnusChristi-1597,31977052,der vnsern,NP,prae,123,n,n,NA,2
31977344,der vnsern viel gefangen / hineyn in die Vöstung geführt / von welchen sie vnsers Lägers gelegenheit wol auß kundtschafften könden,NP,AnnusChristi-1597,31977343,der vnsern,NP,prae,124,n,n,NA,2
31977366,vnsers Lägers gelegenheit,NP,AnnusChristi-1597,31977365,vnsers Lägers,NP,prae,125,n,n,NA,2
31977507,in der Christen Läger,PP,AnnusChristi-1597,31977509,der Christen,NP,prae,126,n,n,NA,2
31977788,auff des Feindts ankunfft,PP,AnnusChristi-1597,31977792,des Feindts,NP,prae,127,n,n,NA,2
31978069,durch der vnsern gegenwöhr,PP,AnnusChristi-1597,31978071,der vnsern,NP,prae,128,n,n,NA,2
31978136,der vnsern viel,NP,AnnusChristi-1597,31978135,der vnsern,NP,prae,129,n,n,NA,2
31978838,in der Christen Läger,PP,AnnusChristi-1597,31978840,der Christen,NP,prae,130,n,n,NA,2
31978879,von Jüngster Bawren Auffruhr,PP,AnnusChristi-1597,31978881,Jüngster Bawren,NP,prae,131,n,n,NA,2
31979411,des Ladigherae Reutterey,NP,AnnusChristi-1597,31979410,des Ladigherae,NP,prae,132,n,n,NA,2
31979552,in des Königs auß Spania gewalt,PP,AnnusChristi-1597,31979554,des Königs auß Spania,NP,prae,133,n,n,NA,4
31980763,der Türcken vil,NP,AnnusChristi-1597,31980762,der Türcken,NP,prae,134,n,n,NA,2
31980872,der gefangnen Außsag nach,PP,AnnusChristi-1597,31980871,der gefangnen,NP,prae,135,n,n,NA,2
31981268,in der Christen Läger,PP,AnnusChristi-1597,31981270,der Christen,NP,prae,136,n,n,NA,2
31981298,nach der Türcken Abzug,PP,AnnusChristi-1597,31981300,der Türcken,NP,prae,137,n,n,NA,2
31981606,der Türcken in 800.,NP,AnnusChristi-1597,31981605,der Türcken,NP,prae,138,n,n,NA,2
31981613,der vnsern aber vber 100.,NP,AnnusChristi-1597,31981612,der vnsern aber,NP,prae,139,n,n,NA,3
31982249,vnder deß Ertzhertzogthumb Oesterreich Besoldung,PP,AnnusChristi-1597,31982253,deß Ertzhertzogthumb Oesterreich,NP,prae,140,n,n,NA,3
31982580,Jrer Maystät Brüderen / den Ertzhertzog Matthiam zu Oesterreich,NP,AnnusChristi-1597,31982579,Jrer Maystät,NP,prae,141,n,n,NA,2
31982664,vnder der Staaden gewalt,PP,AnnusChristi-1597,31982666,der Staaden,NP,prae,142,n,n,NA,2
31982735,in des Graff Moritzen Läger,PP,AnnusChristi-1597,31982737,des Graff Moritzen,NP,prae,143,j,n,NA,3
31983332,der Belägerung noch keinen anfang,NP,AnnusChristi-1597,31983331,der Belägerung,NP,prae,144,n,n,NA,2
31983580,mit des Don Antonij di Portugall Schmeisch,PP,AnnusChristi-1597,31983583,des Don Antonij di Portugall,NP,prae,145,j,n,NA,5
31983638,des Cardinals di Austria Gesandten,NP,AnnusChristi-1597,31983637,des Cardinals di Austria,NP,prae,146,j,n,NA,4
31983947,allein der jenigen so zu Beliu gelegen / vnd das Rhathauß innen gehalten / seind in 250.,NP,AnnusChristi-1597,31983946,allein der jenigen so zu Beliu gelegen / vnd das Rhathauß innen gehalten,NP,prae,147,n,j,NA,13
31984477,deß Hertzogen von Ferrara Todt ( von dem in abgewichnem Monat meldung geschehen,NP,AnnusChristi-1597,31984476,deß Hertzogen von Ferrara,NP,prae,148,j,n,NA,4
31985342,gegen deß Don Caesare Gränitzen,PP,AnnusChristi-1597,31985344,deß Don Caesare,NP,prae,149,j,n,NA,3
31985466,deß Papsts Obriste,NP,AnnusChristi-1597,31985465,deß Papsts,NP,prae,150,n,n,NA,2
31985815,Deß Beegen von Solnock Dolmetsch,NP,AnnusChristi-1597,31985814,Deß Beegen von Solnock,NP,prae,151,j,n,NA,4
31986103,deren zu Roß 2.,NP,AnnusChristi-1597,31986102,deren zu Roß,NP,prae,152,n,n,NA,3
31986503,die zwo noch hinderstelligen / deß acht vnd neuntzigsten Jahrs anlangen,NP,AnnusChristi-1597,31986510,deß acht vnd neuntzigsten Jahrs,NP,prae,153,n,n,NA,5
31986896,Kay. May. bewilligung,NP,AnnusChristi-1597,31986895,Kay. May.,NP,prae,154,n,n,NA,2
31987067,deß Don Antonij Di Portugal Sohn,NP,AnnusChristi-1597,31987066,deß Don Antonij Di Portugal,NP,prae,155,j,n,NA,5
31987079,deß Graff Moritzen Schwester,NP,AnnusChristi-1597,31987078,deß Graff Moritzen,NP,prae,156,j,n,NA,3
31987161,inn deß Admirals von Egmund behausung,PP,AnnusChristi-1597,31987163,deß Admirals von Egmund,NP,prae,157,j,n,NA,4
31987750,von des Herren Ladighera Volck / deren gleichwol vber 800. Mann nit geweßt,PP,AnnusChristi-1597,31987752,des Herren Ladighera,NP,prae,158,j,n,NA,3
31988312,auff deß Don Caesare seitten,PP,AnnusChristi-1597,31988314,deß Don Caesare,NP,prae,159,j,n,NA,3
31988339,deß Bapsts Wappen vnd Schilt,NP,AnnusChristi-1597,31988338,deß Bapsts,NP,prae,160,n,n,NA,2
31988451,zu deß Papsts Volck,PP,AnnusChristi-1597,31988453,deß Papsts,NP,prae,161,n,n,NA,2
31988604,deß Papst Kriegsvolck,NP,AnnusChristi-1597,31988603,deß Papst,NP,prae,162,n,n,NA,2
31989383,des Himmels Ehre,NP,Mercurius-1667,31989382,des Himmels,NP,prae,163,n,n,NA,2
31989567,Bey deiner Stände Glück,PP,Mercurius-1667,31989570,deiner Stände,NP,prae,164,n,n,NA,2
31989977,der darinnen studirenden Jugend Nutzen / vor die Müh,NP,Mercurius-1667,31989976,der darinnen studirenden Jugend,NP,prae,165,n,n,NA,4
31990212,des im Hertzogthum Bremen angekommenen Frantzösischen Gesandten Verrichtung,NP,Mercurius-1667,31990211,des im Hertzogthum Bremen angekommenen Frantzösischen Gesandten,NP,prae,166,n,n,NA,7
31990744,dieses Reiches Unterthanen,NP,Mercurius-1667,31990743,dieses Reiches,NP,prae,167,n,n,NA,2
31991120,in der Türcken devotion,PP,Mercurius-1667,31991122,der Türcken,NP,prae,168,n,n,NA,2
31991173,in der Türcken Gewalt,PP,Mercurius-1667,31991175,der Türcken,NP,prae,169,n,n,NA,2
31991582,zu des Hofes grosser Freude,PP,Mercurius-1667,31991584,des Hofes,NP,prae,170,n,n,NA,2
31991630,in der Königl. Frauen Mutter von Engeland Hofe,PP,Mercurius-1667,31991634,der Königl. Frauen Mutter von Engeland,NP,prae,171,n,n,NA,6
31991634,der Königl. Frauen Mutter von Engeland,NP,Mercurius-1667,31991633,der Königl. Frauen Mutter von Engeland,NP,prae,172,n,n,NA,6
31991677,in I. K. M. Gegenwart,PP,Mercurius-1667,31991679,I. K. M.,NP,prae,173,n,n,NA,3
31991872,von I. Königl. M. von Franckreich Recht auff die Spannische Niederlande,PP,Mercurius-1667,31991874,I. Königl. M. von Franckreich,NP,prae,174,n,n,NA,5
31992002,Der Carossen Reformation,NP,Mercurius-1667,31992001,Der Carossen,NP,prae,175,n,n,NA,2
31992289,dieser Rebellen Auffstand,NP,Mercurius-1667,31992288,dieser Rebellen,NP,prae,176,n,n,NA,2
31992318,in der Gefangenen Bekändtniß,PP,Mercurius-1667,31992320,der Gefangenen,NP,prae,177,n,n,NA,2
31992580,mit des Reichs Tages üblen Schlusse,PP,Mercurius-1667,31992582,des Reichs Tages,NP,prae,178,n,n,NA,3
31992744,in der Königlichen Frauen Mutter von Engeland Cabinet,PP,Mercurius-1667,31992747,der Königlichen Frauen Mutter von Engeland,NP,prae,179,n,n,NA,6
31992747,der Königlichen Frauen Mutter von Engeland,NP,Mercurius-1667,31992746,der Königlichen Frauen Mutter von Engeland,NP,prae,180,n,n,NA,6
31992941,wegen der Käyserin grossen Quardefan,PP,Mercurius-1667,31992944,der Käyserin,NP,prae,181,n,n,NA,2
31993026,biß auff des Königl. Spannischen Hofs Ratification ( welche Ihro Maytt. die Römische Käyserin dem Herrn Ambassadeur / jhm desto ehender zu einem accommodement zu vermögen / bey I. Königl. Frauen Mutter zu erhalten versprochen,PP,Mercurius-1667,31993029,des Königl. Spannischen Hofs,NP,prae,182,n,n,NA,4
31993065,bey I. Königl. Frauen Mutter,PP,Mercurius-1667,31993067,I. Königl. Frauen,NP,prae,183,n,n,NA,3
31993406,des Pabsts geheimter Allmosengeber,NP,Mercurius-1667,31993405,des Pabsts,NP,prae,184,n,n,NA,2
31993517,absonderlich aber von des Päpstischen Hofes Successen,PP,Mercurius-1667,31993521,des Päpstischen Hofes,NP,prae,185,n,n,NA,3
31993580,Mit der Cardinäle Promotion,PP,Mercurius-1667,31993583,der Cardinäle,NP,prae,186,n,n,NA,2
31993731,Des Englischen Herrn Ambassadeurs nach Portugall geschickter Currirer,NP,Mercurius-1667,31993730,Des Englischen Herrn Ambassadeurs,NP,prae,187,n,n,NA,4
31994886,anderer Gesandten Bediente,NP,Mercurius-1667,31994885,anderer Gesandten,NP,prae,188,n,n,NA,2
31995017,andern hohen Standes Dames,NP,Mercurius-1667,31995019,hohen Standes,NP,prae,189,n,n,NA,2
