tok	satz_id	graphtoken	syntoken_id	syntoken_tok_id	graphtoken_id	syntoken_belebtheit	graphtoken_pos	syntoken_lemma	satz_ambig	syntoken	graphtoken_lemma	syntoken_pos	graphtoken_initial	syntoken_ambig	graphtoken_orth	graphtoken_belebtheit	add_place	add_id	label_place	label_id	meta..doc	Year	Place	SENT_INT	upperCase	Animacy	Animacy3	LemmaFreq	LogFreq	Animacy6
scheldungen	13057	scheldungen	11782	1758	10318	abstrakt	NN	scheltung	false	scheldungen	scheltung	NN	s	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	2	0.301029995663981	0
Nachbarn	13058	Nachbarn	11802	1861	10338	menschlich	NN	nachbar	false	Nachbarn	nachbar	NN	N	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	10	1	3
biest	13058	biest	11805	1905	10341	tierisch	NN	biest	false	biest	biest	NN	b	false	lowerCase	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	2	2	17	1.23044892137827	2
Sohn	13059	Sohn	11809	1928	10345	menschlich	NN	sohn	false	Sohn	sohn	NN	S	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	68	1.83250891270624	3
Jahrs	13059	Jahrs	11825	2024	10361	abstrakt Maß	NN	jahr	false	Jahrs	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
biest	13059	biest	11827	2034	10363	tierisch	NN	biest	false	biest	biest	NN	b	false	lowerCase	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	2	2	17	1.23044892137827	2
Mutter	13060	Mutter	11844	2116	10380	menschlich	NN	mutter	false	Mutter	mutter	NN	M	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	118	2.07188200730613	3
Khoe	13060	Khoe	11851	2146	10387	tierisch	NN	kuh	false	Khoe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
Kindt	13062	Kindt	11902	2422	10441	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
weiber	13064	weiber	12948	2597	10471	abstrakt	NN	weiberwerk	false	weiber werck	weib	NN	w	true	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	130	2.11394335230684	3
werck	13064	werck	12948	2597	10472	abstrakt	NN	weiberwerk	false	weiber werck	werk	NN	w	true	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	27	1.43136376415899	0
Man	13065	Man	11937	2638	10478	menschlich	NN	mann	false	Man	mann	NN	M	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	119	2.07554696139253	3
Jahr	12955	Jahr	11956	2754	10497	abstrakt Maß	NN	jahr	false	Jahr	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
Kindt	12955	Kindt	11960	2771	10501	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
bademoder	12956	bademoder	11967	2817	10508	menschlich	NN	bademutter	false	bademoder	bademutter	NN	b	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	3	0.477121254719662	3
Kindt	12957	Kindt	11977	2877	10518	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
mundt	12957	mundt	11987	2948	10528	konkret Körperteil	NN	mund	false	mundt	mund	NN	m	false	lowerCase	konkret Körperteil	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	16	1.20411998265592	1
biers	12957	biers	11991	2973	10532	konkret	NN	bier	false	biers	bier	NN	b	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	25	1.39794000867204	1
Kindt	12959	Kindt	11999	3007	10540	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
gesundtheitt	12960	gesundtheitt	12004	3052	10546	abstrakt	NN	gesundheit	false	gesundtheitt	gesundheit	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	4	0.602059991327962	0
tagen	12961	tagen	12012	3108	10554	abstrakt Maß	NN	tag	false	tagen	tag	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	117	2.06818586174616	0
Donretage	12962	Donretage	12023	3179	10566	abstrakt	NN	donnerstag	false	Donretage	donnerstag	NN	D	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	5	0.698970004336019	0
tagh	12962	tagh	12025	3199	10568	abstrakt Maß	NN	tag	false	tagh	tag	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	117	2.06818586174616	0
Monatts	12962	Monatts	12026	3204	10569	abstrakt	NN	monat	false	Monatts	monat	NN	M	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	8	0.903089986991944	0
Irsten	12964	Irsten	12052	3387	10595	abstrakt	NN	erste	false	Irsten	erste	NN	I	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	3	0.477121254719662	0
Khöe	12964	Khöe	12057	3408	10600	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
thaler	12964	thaler	12859	3494	11425	abstrakt Maß	NN	thaler	false	thaler	thaler	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	14	1.14612803567824	0
Borckens	12964	Borckens	11470	3501	10614	abstrakt	NN	*	false	Borckens gelt	borke	NN	B	false	upperInitial	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	1	1	1	0	1
gelt	12964	gelt	11470	3501	10615	abstrakt	NN	*	false	Borckens gelt	gelt	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	5	0.698970004336019	0
tage	12965	tage	12074	3526	10619	abstrakt Maß	NN	tag	false	tage	tag	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	117	2.06818586174616	0
tage	12967	tage	12092	3634	10637	abstrakt Maß	NN	tag	false	tage	tag	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	117	2.06818586174616	0
Lande	12969	Lande	12106	3721	10651	konkret	NN	land	false	Lande	land	NN	L	false	upperInitial	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	1	1	10	1	1
SterckenKalb	12975	SterckenKalb	12115	3761	10660	tierisch	NN	sterkenkalb	false	SterckenKalb	sterkenkalb	NN	S	false	upperMixedCaps	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	1	0	2
artt	12970	artt	12128	3830	10673	abstrakt	NN	art	false	artt	art	NN	a	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
gutt	12972	gutt	12139	3884	10685	abstrakt	NN	gut	false	gutt	gut	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	29	1.46239799789896	0
mahle	12977	mahle	12167	4049	10713	abstrakt Maß	NN	mal	false	mahle	mal	NN	m	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	119	2.07554696139253	0
Kindelbiern	12977	Kindelbiern	12169	4060	10715	abstrakt	NN	kindelbier	false	Kindelbiern	kindelbier	NN	K	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	2	0.301029995663981	0
Moder	12976	Moder	12185	4158	10731	menschlich	NN	mutter	false	Moder	mutter	NN	M	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	118	2.07188200730613	3
Khöe	12976	Khöe	12188	4169	10734	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
milch	12976	milch	12192	4191	10738	konkret	NN	milch	false	milch	milch	NN	m	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	24	1.38021124171161	1
gudtz	12978	gudtz	12203	4235	10749	abstrakt	NN	gut	false	gudtz	gut	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	29	1.46239799789896	0
milch	12979	milch	12208	4264	10755	konkret	NN	milch	false	milch	milch	NN	m	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	24	1.38021124171161	1
pfenden	12979	pfenden	12215	4295	10762	abstrakt	NN	pfänden	false	pfenden	pfänden	NN	p	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
schweineKens	13023	schweineKens	12230	4378	10777	tierisch	NN	schweinchen	false	schweineKens	schweinchen	NN	s	false	mixedCaps	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	2	2	1	0	2
nachsage	13023	nachsage	12235	4424	10782	abstrakt	NN	nachsagen	false	nachsage	nachsagen	NN	n	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
beschedigungh	13025	beschedigungh	12244	4472	10791	abstrakt	NN	beschädigung	false	beschedigungh	beschädigung	NN	b	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
Kalbern	13025	Kalbern	12246	4493	10793	tierisch	NN	kalb	false	Kalbern	kalb	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	5	0.698970004336019	2
frauwen	13025	frauwen	12252	4539	10799	menschlich	NN	frau	false	frauwen	frau	NN	f	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	197	2.29446622616159	3
steur	12981	steur	12275	4679	10822	abstrakt	NN	steuer	false	steur	steuer	NN	s	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	2	0.301029995663981	0
Jahren	13024	Jahren	12286	4727	10833	abstrakt Maß	NN	jahr	false	Jahren	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
Bade	13024	Bade	12921	4739	10835	menschlich	NN	bademutter	false	Bade Moder	bad	NB	B	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	7	0.845098040014257	0
Moder	13024	Moder	12921	4739	10836	menschlich	NN	bademutter	false	Bade Moder	mutter	NB	M	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	118	2.07188200730613	3
Jahr	12982	Jahr	12293	4773	10842	abstrakt Maß	NN	jahr	false	Jahr	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
Arbeidt	12982	Arbeidt	12308	4861	10857	abstrakt	NN	arbeit	false	Arbeidt	arbeit	NN	A	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	8	0.903089986991944	0
frauwen	13026	frauwen	12319	4919	10868	menschlich	NN	frau	false	frauwen	frau	NN	f	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	197	2.29446622616159	3
Kinder	13026	Kinder	12865	4936	11431	menschlich	NN	kind	false	Kinder	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
Arbeidt	13026	Arbeidt	12323	4947	10872	abstrakt	NN	arbeit	false	Arbeidt	arbeit	NN	A	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	8	0.903089986991944	0
nöth	13026	nöth	12327	4966	10876	abstrakt	NN	not	false	nöth	not	NN	n	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	8	0.903089986991944	0
Kindelbier	12983	Kindelbier	12333	4992	10882	abstrakt	NN	kindelbier	false	Kindelbier	kindelbier	NN	K	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	2	0.301029995663981	0
Abendt	12983	Abendt	12338	5031	10887	abstrakt	NN	abend	false	Abendt	abend	NN	A	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	22	1.34242268082221	0
Kindt	12983	Kindt	12343	5056	10892	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
Abendt	12984	Abendt	12356	5126	10905	abstrakt	NN	abend	false	Abendt	abend	NN	A	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	22	1.34242268082221	0
Montagh	12984	Montagh	12360	5147	10909	abstrakt	NN	montag	false	Montagh	montag	NN	M	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	4	0.602059991327962	0
dinstagh	12984	dinstagh	12362	5159	10911	abstrakt	NN	dienstag	false	dinstagh	dienstag	NN	d	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	4	0.602059991327962	0
nacht	12984	nacht	12365	5175	10914	abstrakt	NN	nacht	false	nacht	nacht	NN	n	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	50	1.69897000433602	0
Kindt	12986	Kindt	12385	5271	10934	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
Kindt	12987	Kindt	12400	5332	10949	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
Schwager	13008	Schwager	12415	5420	10964	menschlich	NN	schwager	false	Schwager	schwager	NN	S	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	4	0.602059991327962	3
frauwen	13008	frauwen	12418	5440	10967	menschlich	NN	frau	false	frauwen	frau	NN	f	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	197	2.29446622616159	3
Schwester	13008	Schwester	12421	5467	10970	menschlich	NN	schwester	false	Schwester	schwester	NN	S	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	23	1.36172783601759	3
deelen	13008	deelen	12425	5487	10974	konkret	NN	diele	false	deelen	diele	NN	d	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	1	0	1
Jahren	12990	Jahren	12439	5566	10988	abstrakt Maß	NN	jahr	false	Jahren	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
behaltz	12990	behaltz	12441	5578	10990	abstrakt	NN	behalt	false	behaltz	behalt	NN	b	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	3	0.477121254719662	0
dhoeren	13027	dhoeren	12451	5640	11001	konkret	NN	tür	false	dhoeren	tür	NN	d	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	30	1.47712125471966	1
Tauff	13027	Tauff	12454	5666	11004	abstrakt	NN	taufe	false	Tauff	taufe	NN	T	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	10	1	0
Kindt	13027	Kindt	12457	5680	11007	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
wortter	13027	wortter	12465	5732	11015	abstrakt	NN	wort	false	wortter	wort	NN	w	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	60	1.77815125038364	0
todts	12992	todts	12488	5855	11039	abstrakt	NN	tod	false	todts	tod	NN	t	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	34	1.53147891704226	0
Weldt	12993	Weldt	12493	5884	11045	konkret	NN	welt	false	Weldt	welt	NN	W	false	upperInitial	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	1	1	15	1.17609125905568	1
Persone	12993	Persone	12496	5904	11048	menschlich	NN	person	false	Persone	person	NN	P	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	65	1.81291335664286	3
	12994	 worttere	12943	6039	9993	abstrakt	NN	wechselwort	false	wechsel- worttere	wort	NN	w	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	60	1.77815125038364	0
Kindere	12995	Kindere	12518	6095	11070	menschlich	NN	kind	false	Kindere	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
gebürth	12996	gebürth	12526	6136	11078	abstrakt	NN	geburt	false	gebürth	geburt	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	2	0.301029995663981	0
Khöe	13029	Khöe	12538	6201	11090	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
winter	13029	winter	12542	6225	11094	abstrakt	NN	winter	false	winter	winter	NN	w	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	11	1.04139268515823	0
Rhäts	12998	Rhäts	12555	6301	11107	abstrakt	NN	rat	false	Rhäts	rat	NN	R	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	35	1.54406804435028	0
plasterens	13000	plasterens	12572	6385	11124	konkret	NN	pflaster	false	plasterens	pflaster	NN	p	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	1	0	1
Khöe	13000	Khöe	12575	6403	11127	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
